geoid,vbm_rate_youth
6055201601,0.9761273114579999
6055201602,1.0
6055200302,0.979547732526
6055201003,0.7151379013570001
6055201007,0.657752329292
6055200707,0.91353951967
6055200505,0.9850185470389999
6055201004,0.742992914743
6055200301,1.0
6055200804,1.0
6055200705,0.99119979656
6055200704,0.9912282702320001
6055200803,0.924503837491
6055200602,0.871105679973
6055201006,0.732507389326
6055200601,0.9658367702539999
6055200706,0.799203818323
6055200504,0.9790847943979999
6055201102,0.986981512889
6055201300,1.0
6055200900,1.0
6055201800,0.970433358268
6055202000,0.960633145325
6055200201,1.0
6055200203,1.0
6055200202,1.0
6055200501,1.0
6055200503,1.0
6055201900,1.0
6055201500,0.998500954674
6055200703,0.996872908292
6055200400,1.0
6055201700,0.641917987539
6055200802,0.984727263029
6055201402,1.0
6055201403,1.0
6055201101,1.0
6055201005,0.7297738764309999
6055201401,0.9976506001209999
6055201200,0.975386583413
