GEOID,Car_flag
6067000100,0
6067000200,0
6067000300,0
6067000400,0
6067000500,0
6067000600,0
6067000700,0
6067000800,0
6067001101,0
6067001200,0
6067001300,0
6067001400,0
6067001500,0
6067001600,0
6067001700,0
6067001800,0
6067001900,0
6067002000,0
6067002100,0
6067002200,0
6067002300,0
6067002400,0
6067002500,0
6067002600,0
6067002700,0
6067002800,0
6067002900,0
6067003000,0
6067003101,0
6067003102,0
6067003202,0
6067003203,0
6067003204,0
6067003300,0
6067003400,0
6067003501,0
6067003502,0
6067003600,0
6067003700,0
6067003800,0
6067003900,0
6067004001,0
6067004004,0
6067004005,0
6067004006,0
6067004008,0
6067004009,0
6067004010,0
6067004011,0
6067004012,0
6067004100,0
6067004201,0
6067004202,0
6067004203,0
6067004300,0
6067004401,0
6067004402,0
6067004501,0
6067004502,0
6067004601,0
6067004602,0
6067004701,0
6067004702,0
6067004801,0
6067004802,0
6067004903,0
6067004904,0
6067004905,0
6067004906,0
6067005001,0
6067005002,0
6067005101,0
6067005102,0
6067005201,0
6067005202,0
6067005204,0
6067005205,0
6067005301,0
6067005402,0
6067005403,0
6067005404,0
6067005502,0
6067005505,0
6067005506,0
6067005508,0
6067005509,0
6067005510,0
6067005601,0
6067005605,0
6067005606,0
6067005701,0
6067005702,0
6067005801,0
6067005803,0
6067005804,0
6067005901,0
6067005903,0
6067005904,0
6067006002,0
6067006003,0
6067006004,0
6067006101,0
6067006102,0
6067006201,0
6067006202,0
6067006300,0
6067006400,0
6067006500,0
6067006600,0
6067006701,0
6067006702,0
6067006800,0
6067006900,0
6067007001,0
6067007004,0
6067007007,0
6067007010,0
6067007011,0
6067007012,0
6067007013,0
6067007014,0
6067007015,0
6067007016,0
6067007017,0
6067007018,0
6067007019,0
6067007020,0
6067007101,0
6067007102,0
6067007103,0
6067007104,0
6067007105,0
6067007106,0
6067007107,0
6067007202,0
6067007204,0
6067007206,0
6067007207,0
6067007208,0
6067007209,0
6067007301,0
6067007402,0
6067007403,0
6067007406,0
6067007413,0
6067007414,0
6067007415,0
6067007416,0
6067007417,0
6067007421,0
6067007422,0
6067007423,0
6067007424,0
6067007426,0
6067007427,0
6067007428,0
6067007429,0
6067007430,0
6067007431,0
6067007432,0
6067007433,0
6067007501,0
6067007503,0
6067007504,0
6067007601,0
6067007602,0
6067007701,0
6067007702,0
6067007801,0
6067007802,0
6067007903,0
6067007904,0
6067007905,0
6067007906,0
6067008005,0
6067008006,0
6067008007,0
6067008008,0
6067008009,0
6067008010,0
6067008111,0
6067008113,0
6067008117,0
6067008119,0
6067008120,0
6067008122,0
6067008124,0
6067008125,0
6067008127,0
6067008128,0
6067008129,0
6067008130,0
6067008131,0
6067008132,0
6067008133,0
6067008134,0
6067008135,0
6067008136,0
6067008137,0
6067008138,0
6067008139,0
6067008140,0
6067008141,0
6067008142,0
6067008143,0
6067008144,0
6067008145,0
6067008203,0
6067008204,0
6067008206,0
6067008207,0
6067008208,0
6067008209,0
6067008210,0
6067008211,0
6067008402,0
6067008403,0
6067008404,0
6067008501,0
6067008504,0
6067008505,0
6067008506,0
6067008507,0
6067008508,0
6067008509,0
6067008510,0
6067008512,0
6067008513,0
6067008600,0
6067008702,0
6067008703,0
6067008704,0
6067008705,0
6067008801,0
6067008905,0
6067008907,0
6067008908,0
6067008909,0
6067008910,0
6067008911,0
6067008912,0
6067008913,0
6067009004,0
6067009005,0
6067009006,0
6067009007,0
6067009008,0
6067009010,0
6067009011,0
6067009103,0
6067009105,0
6067009106,0
6067009107,0
6067009108,0
6067009109,0
6067009110,0
6067009111,0
6067009112,0
6067009201,0
6067009307,0
6067009308,0
6067009309,0
6067009310,0
6067009311,0
6067009312,0
6067009314,0
6067009316,0
6067009317,0
6067009318,0
6067009319,0
6067009320,0
6067009321,0
6067009322,0
6067009323,0
6067009324,0
6067009325,0
6067009326,0
6067009328,0
6067009329,0
6067009330,0
6067009331,0
6067009332,0
6067009403,0
6067009404,0
6067009406,0
6067009407,0
6067009408,0
6067009501,0
6067009502,0
6067009503,0
6067009504,0
6067009601,0
6067009606,0
6067009608,0
6067009609,0
6067009610,0
6067009611,0
6067009612,0
6067009614,0
6067009615,0
6067009616,0
6067009617,0
6067009618,0
6067009619,0
6067009622,0
6067009630,0
6067009632,0
6067009633,0
6067009634,0
6067009635,0
6067009636,0
6067009637,0
6067009638,0
6067009639,0
6067009800,0
6067009900,0
6067988300,1
